Att1	Att2	Att3	Att4	Att5	Att6	Att7	Att8	Att9	Att10	Att11	Att12	Att13	Att14	Att15	Att16	Att17	Att18	Att19	Att20	Att21	Att22	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount
-86.763;-75.209	#	#	#	-0.407;0.563	#	#	0.091;0.283	#	#	#	0.218;0.754	#	#	0.004;0.012	-0.167;0.546	-0.309;0.813	-0.006;1.980	0.313;0.614	#	1.107;2.012	-0.182;0.584	011100	0.352	0.811	1	436.59	49615	48442	0.50		3	38
#	#	#	#	-0.538;0.573	#	#	#	-0.081;0.966	5.419;16.452	#	#	#	0.101;0.218	#	#	#	-0.364;0.902	#	0.061;0.092	1.132;2.970	#	001100	0.376	0.822	1	286.51	49616	48443	0.32		3	15
#	#	#	#	#	1.751;13.242	#	-0.016;0.141	#	#	#	0.273;0.503	#	#	#	0.811;1.496	#	#	0.351;1.220	#	#	#	001100	0.123	0.657	1	444.90	49771	48443	0.23		7	70
-89.449;-76.156	0.010;0.077	#	#	#	4.102;10.231	#	0.078;0.315	#	2.425;5.285	0.080;0.598	0.132;0.622	#	-0.022;0.136	#	-0.677;0.587	0.098;0.734	#	0.309;0.733	#	0.893;1.689	#	000010	0.186	0.714	1	533.33	49617	48444	0.55		3	14
-89.449;-68.481	0.010;0.077	#	0.149;0.241	#	#	#	#	#	2.425;5.285	0.080;0.598	0.132;0.622	-0.171;0.291	-0.022;0.136	#	-0.677;0.587	#	#	0.309;0.733	#	0.893;1.689	#	000010	0.259	0.763	2	549.76	49617	48444	0.50		3	31
#	#	-0.062;0.154	-0.048;0.123	-0.090;0.681	1.278;4.883	#	0.011;0.168	-0.065;0.447	#	#	#	#	#	0.005;0.011	0.968;1.778	#	#	#	#	#	#	100001	0.167	0.699	1	472.86	49786	48445	0.36		7	31
#	#	-0.028;0.179	#	-0.943;0.566	#	#	#	#	#	#	#	#	#	0.010;0.016	#	#	#	0.238;0.568	#	#	-0.090;0.646	100000	1.000	1.000	1	356.86	49815	48446	0.23		7	7
-68.672;-57.118	-0.017;0.082	-0.037;0.086	#	-0.062;0.397	#	#	#	#	0.442;4.392	#	0.313;0.482	#	#	#	#	#	1.248;1.830	#	#	#	0.083;0.559	100001	1.000	1.000	1	627.26	49963	48447	0.36		11	11
-90.182;-70.069	#	#	#	0.237;0.995	-1.221;8.937	0.174;0.492	#	#	#	#	#	#	#	0.008;0.016	#	-0.346;0.759	#	#	#	1.137;2.564	#	000001	0.606	0.905	1	377.14	49621	48448	0.32		3	7
#	#	0.115;0.289	#	#	#	#	0.140;0.312	#	2.921;6.007	#	#	#	#	#	-0.330;0.191	#	0.103;1.301	#	0.061;0.092	0.066;2.069	-0.188;0.067	000110	1.000	1.000	1	382.00	49622	48449	0.36		3	3
#	#	#	#	#	1.834;10.246	-0.077;0.210	#	#	#	#	#	-0.147;0.321	#	#	#	#	#	0.384;1.090	#	0.066;2.069	-0.188;0.067	000110	0.307	0.790	1	479.67	49991	48449	0.27		15	42
-83.869;-65.468	0.031;0.094	#	0.105;0.222	-0.224;0.252	7.124;10.273	0.000;0.123	#	#	0.650;5.404	0.071;0.237	0.471;0.635	#	#	#	#	#	#	#	#	#	#	001010	1.000	1.000	1	616.33	49623	48450	0.41		3	3
-85.367;-63.970	#	0.026;0.163	0.105;0.222	-0.224;0.252	4.744;10.273	0.000;0.123	0.009;0.349	#	0.650;5.404	0.071;0.237	0.471;0.635	#	#	#	#	#	-1.202;2.707	#	0.065;0.112	#	#	001010	1.000	1.000	1	616.33	49623	48450	0.55		3	3
#	-0.098;0.079	0.052;0.160	#	#	8.638;13.413	#	#	#	#	-0.151;0.644	#	-0.177;0.278	0.065;0.109	#	#	#	#	#	0.043;0.108	#	-0.447;0.522	001110	0.524	0.879	1	410.03	49624	48451	0.36		3	11
-96.114;-81.565	#	#	0.051;0.258	#	8.638;13.413	#	0.028;0.215	#	6.363;9.449	-0.151;0.644	#	#	#	#	0.319;1.515	#	-1.111;0.988	0.474;0.935	#	#	#	001110	1.000	1.000	1	420.33	49624	48451	0.41		3	3
-75.528;-62.133	#	#	#	#	-0.123;5.418	#	#	-0.058;0.152	#	#	#	#	#	0.002;0.012	#	#	#	#	0.088;0.143	-0.368;1.360	0.064;0.674	100001	0.626	0.910	1	652.03	49983	48453	0.32		35	67
-77.704;-62.133	0.028;0.138	-0.057;0.172	-0.028;0.111	#	#	#	#	#	#	#	#	#	0.006;0.064	0.002;0.012	#	-0.149;0.537	#	#	#	#	#	100001	0.199	0.724	1	620.81	49988	48453	0.32		86	373
#	#	#	0.085;0.184	#	2.375;7.903	0.009;0.286	-0.003;0.158	#	#	#	#	-0.050;0.392	#	0.002;0.013	#	#	#	0.156;0.546	0.057;0.122	#	#	001010	0.097	0.627	1	609.51	49989	48454	0.36		47	530
-97.121;-70.576	#	-0.041;0.172	0.089;0.172	#	-6.452;7.428	#	0.087;0.244	#	1.423;5.126	#	#	-0.077;0.332	#	#	-0.019;1.227	#	-0.305;1.193	0.192;0.455	#	0.260;0.894	0.371;2.423	011000	1.000	1.000	1	827.57	49856	48455	0.55		19	19
-80.285;-57.176	#	0.000;0.086	-0.004;0.192	#	#	#	#	-0.233;0.605	#	#	#	#	#	0.004;0.009	-0.779;0.448	#	-0.130;2.027	-0.172;0.308	0.033;0.109	#	0.062;0.559	100001	0.606	0.905	1	638.36	49971	48456	0.45		27	35
#	0.007;0.077	-0.011;0.221	#	#	#	#	0.031;0.142	#	-3.526;2.894	#	#	0.171;0.421	#	0.004;0.015	0.092;0.871	0.017;0.453	-0.748;1.135	0.284;0.519	#	#	#	000001	0.382	0.825	1	693.75	49996	48457	0.45		46	122
#	0.007;0.077	#	#	#	#	0.224;0.492	#	-0.159;0.513	#	#	#	#	#	#	#	#	-0.748;1.135	#	#	0.031;1.128	-0.212;1.080	000001	0.469	0.859	1	703.78	49996	48457	0.27		51	96
#	#	#	#	0.827;2.462	#	#	#	#	#	#	0.326;0.670	0.063;0.353	#	#	0.038;0.983	#	1.992;3.361	#	#	#	#	011000	0.098	0.628	1	424.78	49887	48459	0.23		7	43
#	#	-0.006;0.156	#	0.827;1.638	#	#	#	#	-3.830;5.681	#	#	#	0.067;0.130	#	#	-0.156;0.731	1.992;3.241	#	#	#	0.357;1.699	011000	0.367	0.818	1	431.34	49632	48459	0.32		3	11
-69.426;-57.444	#	#	0.044;0.154	#	1.894;6.341	#	-0.018;0.128	#	-0.339;6.450	-0.208;0.359	#	0.160;0.589	-0.007;0.071	#	-0.669;0.344	#	#	#	#	#	#	010000	0.148	0.683	1	603.25	49690	48462	0.41		7	63
-69.426;-57.444	0.021;0.099	#	#	#	#	#	-0.018;0.128	#	-0.339;6.450	-0.048;0.520	#	0.160;0.589	#	#	#	-0.297;0.657	#	0.429;0.739	#	#	-0.170;1.015	010000	0.134	0.669	1	580.16	49690	48462	0.41		7	73
#	#	0.031;0.083	0.028;0.114	#	#	0.007;0.199	-0.087;0.189	-0.962;0.381	#	#	#	0.010;0.175	0.023;0.115	#	0.871;1.032	-0.105;0.497	#	#	0.059;0.122	0.257;2.013	#	000001	1.000	1.000	1	581.44	49838	48463	0.50		11	11
-99.014;-84.975	#	0.177;0.349	0.218;0.342	#	7.472;15.399	#	#	-0.073;1.064	0.077;8.594	0.225;0.990	#	0.016;0.181	0.061;0.084	#	#	#	#	#	#	#	0.247;0.795	001100	0.100	1.000	1	385.74	48464	48464	0.45		0	0
-95.587;-67.423	#	#	0.012;0.320	#	#	-0.110;0.137	0.223;0.519	#	#	#	0.534;0.829	#	0.021;0.102	0.003;0.014	#	0.223;0.864	-0.442;2.250	0.191;0.508	#	#	#	001100	0.328	0.800	1	317.30	49637	48464	0.45		6	10
#	#	#	#	#	#	0.067;0.407	#	#	#	#	0.473;0.675	#	0.001;0.132	0.005;0.010	#	#	0.164;2.183	#	0.046;0.123	#	#	001000	0.216	0.736	1	664.96	49999	48465	0.27		87	619
-101.809;-85.548	-0.023;0.207	0.071;0.201	0.063;0.185	#	0.421;8.354	0.067;0.407	-0.013;0.256	#	3.250;6.460	#	0.473;0.675	-0.070;0.308	#	#	#	#	#	#	#	-0.073;1.427	0.030;0.802	001000	1.000	1.000	1	374.67	49638	48465	0.55		3	3
-96.656;-73.762	-0.041;0.104	0.075;0.196	#	#	7.472;9.470	-0.052;0.169	0.025;0.119	#	0.695;4.645	#	#	-0.109;0.306	0.021;0.084	#	#	#	#	0.191;0.812	#	#	0.247;0.767	001100	1.000	1.000	1	455.67	49639	48466	0.50		3	3
-96.656;-73.762	-0.041;0.104	0.075;0.196	#	#	7.472;9.470	-0.052;0.169	0.025;0.119	0.096;0.837	0.695;4.645	#	#	#	0.021;0.084	0.001;0.013	#	#	#	0.191;0.812	#	#	0.247;0.767	001100	1.000	1.000	1	455.67	49639	48466	0.55		3	3
#	#	#	0.108;0.189	#	#	0.015;0.129	#	#	0.275;8.051	#	0.479;0.845	-0.016;0.195	#	#	#	#	-0.104;2.177	#	#	#	0.264;0.803	011000	0.222	0.740	1	658.51	49965	48467	0.32		39	98
-75.529;-64.182	#	#	#	#	2.545;7.224	0.015;0.129	0.100;0.218	#	#	#	#	#	#	0.002;0.011	-0.422;1.227	#	-0.104;2.177	#	#	0.260;0.894	#	011000	0.325	0.798	1	678.20	49785	48467	0.36		15	43
#	#	0.078;0.189	#	-0.661;0.661	5.204;9.620	-0.063;0.070	#	0.220;0.499	#	0.302;0.846	#	-0.070;0.339	#	0.003;0.010	-0.160;0.515	-0.013;0.925	#	0.147;0.455	#	0.758;2.350	#	011000	0.402	0.833	1	536.81	49723	48468	0.55		11	26
#	#	#	#	0.389;0.966	#	0.025;0.266	#	#	#	-0.076;0.448	#	#	0.049;0.163	0.005;0.012	#	#	0.375;2.038	-0.145;0.354	#	#	0.658;0.838	110000	0.164	0.697	1	571.98	49642	48469	0.36		3	11
-86.635;-50.983	-0.022;0.129	-0.018;0.163	#	#	0.644;4.851	#	#	#	#	0.017;0.541	#	0.152;0.363	#	#	0.713;2.097	-0.207;0.999	#	#	#	#	0.658;0.813	110000	0.115	0.649	1	606.93	49642	48469	0.41		3	19
-91.281;-67.697	#	#	0.044;0.223	#	#	#	#	#	#	0.234;0.555	#	#	0.037;0.135	#	#	0.309;0.794	1.000;2.643	-0.320;0.476	#	#	0.491;1.173	111000	0.227	0.744	1	602.79	49643	48470	0.36		3	39
#	#	0.136;0.235	#	0.263;0.739	#	-0.187;0.135	#	#	#	#	0.538;0.806	-0.147;0.295	0.014;0.083	#	-0.174;0.829	0.309;1.943	#	#	0.050;0.110	0.200;1.558	#	111000	0.348	0.810	1	365.43	49643	48470	0.45		3	7
-72.572;-52.887	0.033;0.109	#	0.032;0.154	0.006;1.337	-2.588;4.203	#	#	#	-0.235;4.579	#	#	#	#	#	0.046;1.223	#	#	#	#	#	-0.428;0.739	100000	0.241	0.753	1	650.05	49885	48472	0.36		15	229
-68.293;-52.887	#	#	#	#	#	#	#	#	#	-0.124;0.222	0.232;0.523	#	0.030;0.118	#	#	#	#	#	#	-0.555;1.174	#	100000	0.321	0.797	1	587.07	49885	48472	0.23		15	150
#	0.007;0.113	#	0.028;0.081	-0.632;0.277	0.245;7.409	0.118;0.492	#	#	-1.399;5.637	#	0.432;0.699	#	0.101;0.144	#	#	-0.765;0.808	#	-0.050;0.691	0.080;0.118	-0.399;1.014	#	000001	1.000	1.000	1	639.33	49646	48473	0.55		3	3
-89.362;-58.551	#	0.057;0.149	#	#	#	-0.214;0.133	#	-0.044;0.560	#	#	0.349;0.546	#	#	#	-0.063;1.210	#	-0.915;0.988	0.396;1.166	#	-0.810;1.706	-0.016;0.491	001110	0.375	0.822	1	578.67	49962	48474	0.45		78	159
