Explore_Iteration	MacroPopSize	MicroPopSize	Hamming_Loss	Accuracy	AveGenerality	Time(min)	TP	TN	OverGenAcc
145000	370	500	0.014	0.959	0.07	8.27	2.084	0.873	0.000
146000	375	500	0.014	0.96	0.08	8.32	2.086	0.872	0.000
147000	383	500	0.015	0.959	0.08	8.38	2.084	0.871	0.000
148000	375	500	0.015	0.96	0.08	8.42	2.093	0.861	0.000
149000	367	500	0.014	0.961	0.08	8.48	2.092	0.866	0.000
150000	369	500	0.015	0.959	0.08	8.53	2.09	0.865	0.007
151000	373	500	0.015	0.958	0.08	8.58	2.082	0.874	0.003
152000	376	500	0.013	0.963	0.08	8.62	2.09	0.87	0.004
153000	377	500	0.016	0.958	0.08	8.67	2.086	0.866	0.000
154000	373	500	0.016	0.957	0.08	8.73	2.081	0.871	0.000
155000	373	500	0.016	0.959	0.08	8.79	2.092	0.861	0.000
156000	374	500	0.015	0.961	0.08	8.85	2.089	0.866	0.022
157000	367	500	0.016	0.959	0.08	8.90	2.094	0.859	0.005
158000	367	500	0.014	0.961	0.08	8.95	2.09	0.867	0.001
159000	369	500	0.016	0.957	0.08	9.00	2.086	0.865	0.011
160000	362	500	0.014	0.963	0.08	9.06	2.088	0.871	0.018
161000	361	500	0.014	0.962	0.08	9.11	2.086	0.872	0.000
162000	362	500	0.012	0.964	0.08	9.16	2.092	0.872	0.008
163000	365	500	0.013	0.961	0.08	9.20	2.097	0.864	0.005
164000	371	500	0.012	0.964	0.09	9.25	2.093	0.871	0.014
165000	372	500	0.011	0.966	0.09	9.31	2.094	0.872	0.000
166000	373	500	0.011	0.968	0.09	9.36	2.087	0.881	0.000
167000	376	500	0.011	0.968	0.09	9.41	2.092	0.876	0.008
168000	369	500	0.011	0.967	0.08	9.47	2.092	0.875	0.000
169000	369	500	0.013	0.962	0.09	9.53	2.087	0.875	0.010
170000	364	500	0.013	0.962	0.09	9.58	2.096	0.866	0.005
171000	367	500	0.013	0.961	0.09	9.63	2.091	0.87	0.000
172000	362	500	0.012	0.965	0.08	9.67	2.099	0.866	0.000
173000	357	500	0.01	0.969	0.08	9.72	2.087	0.882	0.000
174000	362	500	0.01	0.969	0.08	9.77	2.096	0.873	0.005
175000	369	500	0.012	0.964	0.09	9.82	2.092	0.872	0.000
176000	364	500	0.011	0.967	0.09	9.88	2.089	0.878	0.000
177000	363	500	0.011	0.968	0.08	9.93	2.096	0.872	0.012
178000	367	500	0.011	0.966	0.08	9.98	2.098	0.868	0.004
179000	370	500	0.012	0.964	0.08	10.02	2.098	0.866	0.000
180000	371	500	0.013	0.961	0.08	10.07	2.097	0.864	0.000
181000	374	500	0.013	0.96	0.08	10.13	2.089	0.871	0.000
182000	376	500	0.013	0.96	0.07	10.18	2.095	0.865	0.000
183000	382	500	0.014	0.958	0.08	10.24	2.091	0.867	0.000
184000	383	500	0.012	0.963	0.08	10.30	2.091	0.872	0.000
185000	382	500	0.012	0.963	0.08	10.35	2.103	0.86	0.000
186000	382	500	0.012	0.963	0.08	10.41	2.095	0.868	0.004
187000	377	500	0.013	0.961	0.08	10.46	2.098	0.863	0.000
188000	380	500	0.013	0.96	0.08	10.52	2.088	0.872	0.000
189000	377	500	0.013	0.961	0.09	10.57	2.097	0.864	0.000
190000	371	500	0.014	0.959	0.09	10.62	2.092	0.867	0.004
191000	366	500	0.014	0.959	0.08	10.66	2.088	0.871	0.000
192000	374	500	0.013	0.96	0.08	10.72	2.097	0.863	0.014
193000	379	500	0.013	0.96	0.07	10.77	2.1	0.86	0.000
194000	376	500	0.014	0.96	0.08	10.83	2.097	0.862	0.000
195000	378	500	0.013	0.962	0.07	10.88	2.096	0.866	0.000
196000	376	500	0.012	0.963	0.07	10.93	2.09	0.873	0.000
197000	373	500	0.012	0.963	0.07	10.97	2.092	0.871	0.005
198000	377	500	0.013	0.961	0.07	11.04	2.093	0.868	0.000
199000	380	500	0.013	0.962	0.07	11.08	2.091	0.871	0.000
200000	383	500	0.012	0.964	0.08	11.13	2.1	0.864	0.000
201000	388	500	0.013	0.96	0.08	11.18	2.095	0.865	0.000
202000	388	500	0.013	0.961	0.07	11.23	2.097	0.864	0.000
203000	390	500	0.012	0.963	0.07	11.28	2.091	0.872	0.000
204000	394	500	0.013	0.961	0.07	11.33	2.09	0.871	0.005
205000	397	500	0.011	0.966	0.07	11.38	2.094	0.872	0.000
206000	392	500	0.011	0.967	0.07	11.42	2.081	0.886	0.000
207000	387	500	0.009	0.972	0.07	11.47	2.093	0.879	0.000
208000	386	500	0.009	0.972	0.07	11.52	2.094	0.878	0.000
209000	387	500	0.008	0.975	0.07	11.56	2.099	0.876	0.008
210000	385	500	0.009	0.973	0.07	11.61	2.093	0.88	0.000
211000	376	500	0.008	0.976	0.07	11.66	2.091	0.884	0.000
212000	378	500	0.008	0.976	0.07	11.71	2.095	0.881	0.004
213000	379	500	0.009	0.973	0.07	11.76	2.089	0.884	0.008
214000	377	500	0.008	0.977	0.07	11.81	2.096	0.881	0.000
215000	377	500	0.008	0.977	0.07	11.86	2.1	0.877	0.000
216000	371	500	0.008	0.977	0.06	11.91	2.096	0.881	0.000
217000	380	500	0.008	0.976	0.06	11.96	2.098	0.878	0.004
218000	378	500	0.009	0.974	0.06	12.01	2.089	0.885	0.000
