Att1	Att2	Att3	Att4	Att5	Att6	Att7	Att8	Att9	Att10	Att11	Att12	Att13	Att14	Att15	Att16	Att17	Att18	Att19	Att20	Att21	Att22	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount
#	#	#	#	#	4.399;12.475	-0.117;0.246	0.067;0.275	#	#	0.249;0.619	0.393;0.535	-0.151;0.232	#	#	0.074;0.614	-0.396;1.216	#	#	0.057;0.092	#	-0.162;0.341	001110	0.079	0.602	1	73.12	9999	5570	0.45		136	226
#	#	-0.075;0.157	0.020;0.196	-0.195;1.100	#	0.165;0.419	-0.105;0.179	-0.129;0.213	#	#	0.263;0.481	#	#	0.004;0.009	0.140;1.046	#	#	0.066;0.434	0.073;0.098	-0.352;0.965	#	100001	0.073	0.593	1	68.96	9872	5571	0.55		99	167
#	#	#	#	-0.637;0.658	4.399;12.475	#	0.067;0.277	#	-2.674;9.831	0.212;0.619	0.316;0.535	#	#	#	0.877;2.092	#	#	0.245;0.747	0.054;0.114	#	#	001110	1.000	1.000	1	78.47	9948	5581	0.41		34	34
#	0.016;0.081	#	#	-0.029;1.100	-2.579;4.512	#	#	#	0.405;3.491	#	0.263;0.400	#	#	#	#	#	#	#	#	#	-0.277;1.536	100001	1.000	1.000	2	109.58	9888	5587	0.27		33	33
-87.308;-55.641	#	#	0.071;0.165	#	1.965;8.094	#	#	#	#	0.310;0.705	0.410;0.579	#	0.050;0.098	0.004;0.014	-0.556;0.138	#	#	#	#	#	#	011000	0.196	0.722	2	65.59	9996	5592	0.36		57	79
#	#	#	0.071;0.165	#	1.965;8.094	#	#	#	#	0.310;0.705	0.410;0.579	#	#	0.004;0.014	-0.556;0.138	#	#	0.024;0.513	#	#	#	011000	0.064	0.577	1	52.89	9996	5592	0.32		45	78
-65.694;-56.529	-0.019;0.117	0.006;0.184	-0.047;0.138	0.844;1.955	#	#	-0.035;0.218	#	#	#	#	0.313;0.775	-0.015;0.060	#	-0.190;0.910	-0.245;0.558	#	#	#	#	1.138;1.605	100000	1.000	1.000	1	88.96	9903	5602	0.50		11	11
#	0.032;0.159	#	0.056;0.158	#	0.417;4.650	#	-0.036;0.202	#	-0.508;4.753	#	0.480;0.687	0.276;0.692	0.009;0.135	#	-0.387;0.964	#	-0.274;1.239	#	#	0.458;1.458	#	000001	0.189	0.716	1	116.30	9945	5603	0.50		144	201
-75.924;-62.230	-0.008;0.106	-0.022;0.108	#	#	1.961;4.863	0.211;0.406	#	-0.135;0.452	#	-0.251;0.239	0.499;0.740	#	0.009;0.135	#	#	#	-0.274;1.437	#	#	#	#	000001	0.221	0.739	2	118.93	9992	5603	0.45		190	257
#	0.009;0.121	#	#	#	2.864;11.807	-0.021;0.188	#	#	3.090;12.101	0.887;1.677	#	#	0.004;0.104	#	#	#	#	#	#	#	#	001100	1.000	1.000	1	76.48	9909	5606	0.27		35	35
-89.643;-50.611	#	#	0.055;0.143	#	#	-0.057;0.193	#	#	-0.586;6.697	#	0.453;0.606	-0.004;0.458	-0.009;0.091	0.005;0.010	-0.840;-0.049	#	0.914;1.975	#	0.051;0.115	0.092;1.820	#	010000	1.000	1.000	1	58.25	9914	5613	0.55		22	22
#	#	#	#	-0.637;0.577	7.099;12.475	#	#	#	1.200;5.520	#	0.335;0.627	-0.115;0.301	0.014;0.086	#	#	0.428;1.049	#	#	0.050;0.107	#	-0.187;0.333	001110	0.167	0.699	1	75.34	9987	5615	0.41		79	113
-79.988;-64.582	#	#	#	-0.029;1.100	#	#	#	#	#	#	0.275;0.521	0.309;0.514	#	#	#	#	#	#	#	#	#	100001	0.065	0.578	1	66.71	9962	5630	0.18		111	192
#	0.062;0.174	#	#	#	#	#	#	#	-2.098;6.048	#	0.263;0.521	0.309;0.514	0.007;0.063	#	#	#	#	#	0.077;0.118	#	#	100001	0.167	0.699	1	75.13	9962	5633	0.27		79	113
#	-0.082;0.088	-0.038;0.127	0.020;0.196	-0.029;1.100	#	#	-0.105;0.179	-0.129;0.213	#	-0.205;0.499	#	0.141;0.405	#	#	#	-1.003;0.769	#	0.066;0.454	0.073;0.098	0.793;2.110	-0.277;1.015	100001	0.335	0.804	1	77.20	9960	5651	0.59		45	56
-94.252;-67.720	-0.007;0.101	#	0.048;0.155	#	#	#	0.109;0.274	0.444;1.003	0.318;9.452	0.206;1.119	#	#	#	#	#	0.612;1.483	#	0.100;0.571	#	0.819;2.301	-0.209;0.294	011100	0.031	0.500	1	45.52	9954	5653	0.50		11	22
#	0.062;0.174	#	#	#	#	#	#	#	-2.098;6.048	-0.014;0.332	0.263;0.521	0.309;0.514	0.007;0.063	#	-0.100;1.270	#	#	#	0.077;0.118	-0.181;1.246	#	100001	0.224	0.742	1	80.44	9962	5661	0.41		66	89
#	0.070;0.206	#	#	#	#	0.272;0.391	#	-0.007;0.392	2.265;9.424	#	0.284;0.617	#	#	0.015;0.023	#	#	#	0.459;0.750	0.107;0.139	#	0.572;1.415	010010	1.000	1.000	1	67.02	9966	5665	0.41		11	11
-76.445;-61.467	#	#	0.024;0.158	-0.617;0.617	#	#	-0.036;0.202	-0.266;0.616	#	-0.222;0.239	0.499;0.740	#	-0.001;0.084	#	-0.387;0.964	#	-0.274;1.437	0.231;0.588	0.082;0.103	#	0.082;0.674	000001	0.078	0.601	1	103.17	9992	5668	0.59		232	386
#	#	#	#	-0.547;0.581	#	0.006;0.143	-0.041;0.004	-0.297;0.557	#	-0.299;0.626	#	0.110;0.288	0.030;0.086	0.003;0.014	#	-0.142;0.897	#	0.142;0.387	0.045;0.112	-0.572;1.157	0.293;0.742	010001	0.000	0.105	1	169.66	5669	5669	0.59		0	0
#	#	#	0.141;0.291	#	#	0.305;0.487	-0.055;0.194	#	-5.554;6.112	-0.273;0.505	0.617;0.781	0.309;0.471	#	#	#	-0.109;0.694	#	0.066;0.434	#	0.667;1.518	#	100001	1.000	1.000	1	60.43	9972	5671	0.45		22	22
#	-0.011;0.080	#	0.186;0.337	#	#	#	0.199;0.417	#	#	#	0.316;0.627	#	0.040;0.105	#	-0.638;0.172	#	#	#	0.016;0.092	#	#	001110	1.000	1.000	1	72.09	9979	5678	0.32		11	11
-96.975;-79.002	0.033;0.165	0.001;0.172	#	#	6.557;10.163	#	#	#	#	-0.227;0.402	0.389;0.782	#	#	0.019;0.026	#	#	#	#	#	#	#	000001	1.000	1.000	1	38.14	9980	5679	0.32		11	11
-96.975;-79.002	0.056;0.142	#	#	#	5.536;11.184	#	#	#	#	#	0.389;0.782	#	#	#	#	#	#	#	0.103;0.168	#	#	000001	1.000	1.000	1	38.14	9980	5679	0.23		11	11
-76.584;-52.191	0.055;0.165	#	#	#	#	0.103;0.439	0.032;0.186	-0.179;0.596	#	0.226;0.763	0.389;0.602	0.223;0.662	0.098;0.219	0.011;0.017	#	#	#	#	0.059;0.125	#	#	110000	1.000	1.000	1	35.33	9986	5685	0.50		11	11
-76.840;-59.294	#	-0.049;0.125	0.018;0.094	#	#	0.232;0.400	#	-0.151;0.373	#	#	0.262;0.595	0.220;0.636	-0.033;0.073	#	-0.452;0.223	#	#	-0.084;0.443	#	-0.172;0.981	0.779;1.910	110000	0.073	0.593	1	85.56	9881	5700	0.55		32	54
-80.963;-54.860	#	-0.034;0.157	#	0.812;1.100	#	0.227;0.554	-0.105;0.179	#	#	-0.157;0.448	#	#	0.022;0.117	0.002;0.013	#	#	#	#	#	#	#	100001	0.089	0.616	1	91.60	9772	5713	0.36		53	86
-109.103;-78.292	0.067;0.207	#	0.194;0.309	-0.394;0.682	#	-0.017;0.269	#	#	#	0.086;0.654	#	#	#	0.008;0.012	0.096;0.752	#	-0.206;1.574	#	#	1.058;2.128	#	000100	1.000	1.000	1	49.00	9626	5716	0.45		10	10
#	#	#	#	#	3.736;9.385	#	#	#	4.676;9.860	-0.161;0.419	#	0.282;0.447	0.007;0.097	0.019;0.024	#	#	#	#	#	0.331;1.895	0.985;1.541	110001	1.000	1.000	1	29.00	9628	5718	0.36		10	10
-77.743;-60.626	#	0.063;0.259	#	#	#	#	0.218;0.460	#	#	-0.045;0.560	#	#	#	0.009;0.017	#	#	-0.376;1.815	0.088;0.672	0.072;0.113	1.134;2.259	#	100000	1.000	1.000	2	40.70	9648	5738	0.41		10	10
-89.649;-60.626	#	#	#	-0.064;0.487	#	#	0.218;0.357	#	#	-0.045;0.560	#	#	0.045;0.098	#	#	#	0.130;1.430	0.088;0.979	0.072;0.113	1.134;2.259	-0.305;0.862	100000	0.024	0.476	1	70.31	9648	5738	0.45		10	21
#	#	#	#	-0.617;0.617	#	#	#	#	4.289;7.303	-0.546;0.743	0.282;0.649	-0.002;0.295	-0.002;0.093	#	-0.300;0.471	#	1.011;1.901	#	#	#	-0.028;1.680	110000	0.080	0.604	2	68.19	9849	5748	0.41		32	53
#	0.028;0.173	0.010;0.197	0.129;0.291	#	#	#	-0.055;0.194	#	0.064;6.112	-0.223;0.675	#	0.309;0.471	#	#	0.047;1.166	-0.109;0.754	#	#	0.053;0.117	#	0.062;0.870	100001	1.000	1.000	1	60.44	9972	5749	0.50		21	21
#	0.033;0.294	#	0.030;0.150	-0.490;0.532	#	-0.083;0.158	0.235;0.361	#	#	#	#	-0.115;0.242	#	#	#	#	-0.787;1.461	0.245;0.602	#	#	#	001110	1.000	1.000	1	85.85	9722	5750	0.36		21	21
#	#	#	0.138;0.217	-0.501;0.609	#	-0.032;0.113	#	#	#	0.207;0.577	#	#	0.049;0.112	0.006;0.010	#	0.077;0.517	-1.117;1.279	0.464;0.466	0.068;0.095	#	#	000110	1.000	1.000	1	107.50	9668	5758	0.45		10	10
#	0.138;0.209	#	#	-0.302;0.968	#	#	#	0.094;0.550	0.635;9.275	#	0.328;0.514	0.044;0.427	0.074;0.156	#	#	#	0.801;1.862	0.571;0.967	#	#	#	000010	0.024	0.476	1	36.32	9674	5764	0.41		10	21
#	#	-0.015;0.207	0.026;0.101	#	#	#	0.086;0.141	-0.159;0.480	#	0.108;0.503	0.246;0.622	0.274;0.775	-0.013;0.112	0.002;0.014	-0.839;0.588	#	#	#	#	#	#	100000	0.034	0.508	1	62.66	9988	5767	0.45		32	63
#	#	-0.020;0.189	#	#	1.965;8.094	#	#	#	#	#	0.665;1.020	#	#	#	-0.320;0.374	0.280;1.419	0.425;1.589	#	0.083;0.111	#	#	011000	1.000	1.000	1	20.30	9678	5768	0.32		10	10
#	#	0.013;0.088	#	-0.029;1.637	#	#	-0.105;0.179	#	0.405;3.491	#	0.174;0.400	#	#	#	#	#	#	-0.098;0.448	#	#	-0.277;1.428	100001	0.106	0.639	1	81.41	9962	5770	0.32		76	119
#	#	#	#	#	#	#	0.062;0.256	#	5.966;10.903	0.095;0.428	0.460;0.771	#	#	#	#	#	#	0.209;0.567	0.083;0.102	#	0.155;0.657	011000	0.228	0.744	1	66.70	9865	5773	0.32		32	43
-86.676;-64.851	-0.018;0.093	#	0.177;0.357	-0.353;0.775	0.433;6.442	#	0.108;0.288	0.117;0.493	#	-0.043;0.833	#	-0.078;0.226	0.017;0.093	0.006;0.010	#	-0.049;0.822	#	#	#	#	#	111000	0.024	0.476	1	46.09	9686	5776	0.55		10	21
-110.990;-84.031	0.033;0.156	-0.003;0.223	0.018;0.112	-0.555;0.555	#	#	-0.051;0.218	#	6.588;15.352	0.027;0.816	0.227;0.598	#	#	#	-0.035;0.852	0.198;1.052	-0.037;1.401	0.337;0.770	#	#	#	101000	1.000	1.000	1	57.70	9690	5780	0.59		10	10
#	#	#	0.149;0.243	#	-0.447;8.692	#	0.062;0.256	#	#	#	0.460;0.771	#	#	#	-0.609;0.490	#	#	#	#	0.462;1.614	0.155;0.406	011000	0.243	0.754	1	96.44	9996	5786	0.32		98	130
#	-0.019;0.133	#	0.182;0.372	-0.169;-0.146	3.380;9.389	#	#	0.010;0.797	4.633;11.421	#	#	#	#	0.005;0.010	-0.159;1.249	#	#	#	#	#	#	001000	0.100	1.000	1	87.88	5791	5791	0.36		0	0
#	-0.008;0.159	#	#	#	1.164;4.650	0.211;0.406	#	-0.005;0.439	#	#	#	0.030;0.519	-0.002;0.085	#	#	-0.151;0.569	-0.274;1.437	0.231;0.588	#	0.212;1.227	#	000001	0.062	0.574	1	91.24	9992	5793	0.45		249	434
#	#	#	0.157;0.243	#	-0.447;7.845	#	#	-0.188;0.610	#	#	0.460;0.771	#	#	#	0.699;1.258	#	#	#	#	0.040;0.918	#	011000	0.122	0.656	1	42.32	9720	5801	0.27		21	32
#	0.020;0.079	0.151;0.284	0.168;0.328	#	#	-0.032;0.113	#	#	2.441;7.379	0.207;0.577	#	#	#	0.006;0.010	0.241;1.052	#	-1.117;1.279	#	0.068;0.095	#	-0.213;0.954	000110	0.132	0.667	2	92.40	9715	5805	0.50		20	30
-92.146;-56.516	#	#	#	-0.637;0.577	7.099;12.475	#	0.199;0.417	0.683;1.287	0.821;9.831	#	0.316;0.668	#	#	#	#	0.255;1.049	#	#	#	#	-0.187;0.630	001110	1.000	1.000	1	67.34	9987	5814	0.41		32	32
#	#	-0.009;0.088	-0.013;0.110	-0.032;0.567	1.217;5.029	#	-0.105;0.179	-0.337;0.213	-0.850;3.717	-0.071;0.666	0.263;0.481	#	#	0.004;0.009	#	#	0.370;1.773	-0.003;0.434	#	#	-0.163;0.537	100001	0.211	0.732	3	89.74	9983	5824	0.59		115	157
#	0.158;0.221	-0.075;0.157	#	#	1.217;5.029	#	-0.053;0.179	#	#	-0.168;0.666	0.263;0.481	#	-0.001;0.100	#	0.140;1.046	-0.195;0.769	#	0.066;0.434	#	#	#	100001	1.000	1.000	1	100.90	9734	5824	0.45		10	10
-85.129;-58.597	#	#	0.126;0.240	#	#	0.223;0.459	#	#	1.637;5.340	#	#	0.450;0.488	#	#	#	#	-1.006;1.458	#	#	#	-0.508;0.569	001000	0.000	0.000	1	58.00	5826	5826	0.32		0	10
-79.727;-54.907	0.017;0.188	0.022;0.174	0.051;0.153	-0.247;0.247	#	0.102;0.257	#	-0.556;0.530	#	#	0.625;0.876	-0.044;0.378	#	0.002;0.013	0.209;0.942	-0.136;0.751	#	#	0.066;0.115	-0.155;1.546	#	001011	1.000	1.000	1	45.97	9875	5833	0.64		21	21
-77.160;-57.475	0.017;0.188	0.022;0.174	0.051;0.153	-0.247;0.247	#	0.102;0.257	#	-0.617;0.530	#	#	0.625;0.876	#	#	0.002;0.013	0.209;0.942	-0.136;0.751	#	#	0.066;0.115	-0.155;1.546	#	001011	1.000	1.000	3	45.97	9875	5833	0.59		21	21
#	#	0.013;0.088	#	-0.029;1.100	#	#	#	#	-2.915;6.096	-0.290;0.474	0.263;0.400	0.177;0.421	#	#	-0.083;1.046	#	#	-0.098;0.448	#	#	-0.277;1.428	100001	0.176	0.707	1	83.76	9888	5834	0.41		53	75
#	#	#	#	-0.467;0.661	3.242;7.449	#	#	-0.033;0.434	#	#	#	#	0.026;0.072	#	0.920;1.460	-0.393;0.829	0.348;1.409	0.094;0.677	0.051;0.096	#	#	101000	0.024	0.476	1	35.54	9746	5836	0.41		10	21
#	0.088;0.224	0.002;0.230	0.066;0.191	#	#	0.337;0.482	0.025;0.315	#	#	#	0.347;0.686	#	#	#	#	#	0.007;1.000	#	#	0.202;1.837	-0.162;0.305	001000	0.228	0.744	2	69.47	9877	5839	0.41		32	43
#	#	0.108;0.117	0.024;0.083	-0.836;0.242	-0.158;7.160	#	#	-0.135;0.616	#	#	#	#	#	#	#	#	-0.326;1.180	#	0.082;0.103	-0.313;1.635	#	000001	0.100	1.000	1	198.75	5843	5843	0.36		0	0
#	0.182;0.288	0.041;0.133	#	#	#	#	-0.048;0.213	#	#	#	#	0.021;0.265	0.145;0.227	#	0.558;1.233	#	#	#	#	#	0.416;1.690	000100	1.000	1.000	1	35.50	9761	5851	0.32		10	10
#	#	-0.010;0.180	-0.007;0.196	#	#	0.211;0.525	#	#	#	-0.290;0.474	0.263;0.400	0.058;0.441	0.005;0.091	0.007;0.013	0.140;0.785	#	#	#	0.062;0.098	#	#	100001	1.000	1.000	2	133.67	9888	5857	0.45		31	31
-81.582;-69.172	-0.024;0.136	#	0.077;0.219	0.170;0.717	#	-0.035;0.219	#	#	0.376;11.488	#	#	0.010;0.314	0.068;0.116	#	0.128;0.649	-0.127;0.724	#	#	0.067;0.112	-0.033;1.586	#	001000	0.060	0.569	1	47.47	9924	5867	0.55		41	72
-86.193;-81.882	0.016;0.143	-0.015;0.207	-0.005;0.170	#	#	#	#	#	-0.099;6.073	#	0.246;0.622	0.274;0.775	0.016;0.101	#	#	-0.397;0.530	#	#	#	#	0.299;0.766	100000	0.000	0.294	1	142.83	5879	5879	0.45		0	0
-106.395;-88.422	#	#	#	#	-0.144;4.580	#	#	0.902;1.461	#	#	#	#	0.027;0.135	#	#	1.479;1.981	#	#	#	#	-0.569;0.652	000110	1.000	1.000	1	41.10	9790	5880	0.27		10	10
#	-0.033;0.112	#	0.189;0.350	-0.498;0.577	#	-0.008;0.146	#	0.196;1.017	#	#	0.312;0.881	#	0.026;0.077	0.002;0.012	-0.044;0.811	#	-0.425;0.978	#	0.054;0.101	0.291;1.937	#	001100	0.139	0.674	1	83.92	9909	5881	0.55		64	95
#	#	#	#	#	-0.158;5.972	0.211;0.406	#	#	0.062;4.753	-0.251;0.588	#	#	0.009;0.135	#	#	#	0.144;2.369	#	0.098;0.103	0.095;0.946	#	000001	0.257	0.762	1	82.75	9857	5882	0.36		32	42
-110.431;-87.751	#	-0.007;0.228	#	#	#	#	0.001;0.123	#	#	0.393;1.022	#	#	0.024;0.070	#	#	#	-0.364;1.607	0.379;0.624	#	0.698;2.390	#	001100	0.122	0.656	1	57.55	9946	5890	0.36		21	32
-73.141;-58.164	#	0.095;0.228	0.106;0.190	#	0.991;4.477	#	0.198;0.389	#	0.372;8.642	-0.219;0.694	#	#	-0.003;0.091	0.005;0.009	#	#	#	#	0.057;0.100	#	#	110000	1.000	1.000	1	37.80	9805	5895	0.45		10	10
-92.146;-59.424	#	#	#	#	7.099;12.475	-0.024;0.098	#	#	0.821;9.831	#	0.335;0.627	#	0.040;0.105	#	#	0.044;1.049	1.753;4.081	0.144;0.690	#	#	#	001110	1.000	1.000	1	34.90	9810	5900	0.41		10	10
-92.146;-59.424	#	#	#	#	7.099;12.475	-0.024;0.098	#	#	0.821;9.831	#	0.335;0.627	-0.141;0.340	0.040;0.105	#	#	0.044;1.049	1.753;4.081	#	#	#	#	001110	1.000	1.000	1	34.90	9810	5900	0.41		10	10
-81.341;-68.931	-0.004;0.106	#	#	0.984;1.883	-0.217;5.552	0.187;0.324	#	#	#	#	0.452;0.670	0.139;0.370	#	#	#	0.012;0.648	2.313;3.168	#	0.093;0.124	0.384;2.150	#	010000	0.024	0.476	1	35.25	9825	5915	0.50		10	21
#	#	0.066;0.225	0.149;0.243	#	#	#	0.062;0.256	#	#	#	0.460;0.803	0.026;0.227	0.006;0.121	#	0.076;0.829	#	1.023;1.500	#	0.058;0.125	0.217;1.561	#	011000	0.421	0.841	1	106.73	9922	5926	0.45		53	63
#	#	#	#	#	-2.412;6.602	0.110;0.342	-0.000;0.145	#	#	#	0.720;0.960	0.212;0.482	0.060;0.130	#	0.101;0.738	0.105;1.160	-1.095;1.095	#	#	0.363;1.268	-0.646;0.646	000010	1.000	1.000	1	31.40	9837	5927	0.50		10	10
#	#	#	#	-0.637;0.658	2.005;12.475	#	0.067;0.277	#	3.401;9.831	0.212;0.619	0.316;0.535	#	#	#	0.877;2.092	#	#	0.245;0.747	0.054;0.114	#	#	001110	0.080	0.604	1	52.94	9948	5938	0.41		32	53
-75.924;-62.230	0.032;0.106	-0.022;0.108	0.056;0.158	#	0.417;4.863	#	#	#	-0.508;4.753	#	0.499;0.740	0.276;0.692	0.009;0.135	0.003;0.013	-0.387;0.964	-0.380;0.725	-0.274;1.437	#	#	#	#	000001	0.679	0.925	1	153.32	9963	5944	0.59		124	134
#	-0.033;0.112	0.154;0.321	0.189;0.350	-0.202;0.577	#	-0.027;0.146	#	0.341;0.944	6.574;11.799	0.393;1.022	0.312;0.881	#	#	#	0.150;0.864	#	-0.425;0.978	#	#	0.698;1.937	-0.015;0.452	001100	1.000	1.000	1	85.27	9907	5948	0.59		21	21
#	#	0.075;0.388	0.189;0.350	#	#	#	#	#	5.257;9.982	#	#	#	0.004;0.104	0.002;0.012	-0.044;0.811	#	#	#	0.054;0.101	#	#	001100	0.074	0.593	1	68.42	9909	5948	0.32		73	123
-90.537;-73.848	-0.033;0.184	0.169;0.357	0.189;0.371	#	#	-0.008;0.104	#	0.341;1.307	#	#	0.430;0.881	#	0.004;0.104	#	#	-0.032;0.923	#	#	0.054;0.101	0.963;1.937	#	001100	0.083	0.608	1	78.39	9907	5951	0.50		31	51
#	#	0.066;0.225	0.149;0.243	#	-0.447;7.845	-0.044;0.188	0.062;0.256	#	#	#	#	0.026;0.257	0.006;0.121	#	#	#	1.023;1.500	#	#	#	#	011000	0.196	0.722	1	105.53	9922	5954	0.36		52	72
#	-0.004;0.096	#	#	-0.437;0.273	#	#	#	0.006;1.250	6.473;10.903	#	0.460;0.683	0.042;0.227	-0.005;0.121	#	-0.609;0.490	#	1.023;1.500	#	0.058;0.102	0.462;1.614	0.155;0.657	011000	1.000	1.000	1	98.42	9865	5955	0.55		20	20
-103.154;-57.995	#	#	0.149;0.243	#	-0.447;7.845	0.057;0.356	0.062;0.256	#	#	0.032;0.365	#	#	0.006;0.121	#	-0.609;0.490	#	0.336;2.159	#	#	#	0.155;0.657	011000	0.145	0.680	1	92.31	9996	5969	0.45		85	125
-74.323;-61.913	#	-0.009;0.106	#	0.844;1.955	-2.065;5.386	#	0.033;0.141	#	#	#	0.377;0.645	#	-0.027;0.077	0.004;0.006	-0.190;0.910	#	2.259;4.587	#	#	-0.239;0.749	#	100000	1.000	1.000	1	70.90	9883	5973	0.50		10	10
#	#	0.013;0.088	#	-0.029;1.100	#	#	#	#	0.405;3.491	#	0.263;0.400	#	-0.002;0.048	#	-0.083;1.046	#	#	0.196;0.448	#	#	#	100001	0.070	0.588	1	91.72	9888	5978	0.32		30	51
-103.154;-44.810	#	#	0.149;0.243	#	-0.447;7.845	0.057;0.356	0.062;0.256	#	#	#	#	#	0.006;0.121	#	-0.609;0.490	#	0.336;1.500	0.102;0.667	#	#	#	011000	0.196	0.722	3	93.70	9996	5981	0.41		104	144
-89.552;-57.457	#	0.052;0.153	#	#	1.296;5.543	0.072;0.222	#	0.410;0.667	3.099;12.233	#	0.413;0.679	#	#	#	#	0.086;0.504	#	#	#	#	#	001010	0.000	0.000	1	29.40	5988	5988	0.36		0	11
-76.968;-57.283	-0.018;0.063	-0.008;0.138	#	#	#	-0.047;0.099	0.067;0.275	#	#	0.212;0.619	0.316;0.535	#	#	#	#	-0.396;0.776	-0.708;1.130	0.446;0.747	#	0.258;1.884	#	001110	1.000	1.000	4	135.46	9971	5990	0.50		82	82
-65.694;-61.913	-0.019;0.117	#	#	0.844;1.955	#	0.195;0.386	-0.023;0.218	#	#	#	#	0.313;0.775	#	#	#	-0.245;0.558	#	0.339;0.706	#	#	#	100000	1.000	1.000	2	86.30	9903	5993	0.36		10	10
#	0.007;0.080	#	#	#	#	0.216;0.470	-0.062;0.187	#	#	#	#	0.220;0.636	-0.033;0.106	0.002;0.015	-0.452;1.056	-0.387;0.601	#	-0.084;0.443	#	-0.637;1.311	1.478;1.910	110000	0.132	0.667	2	77.31	9912	6002	0.50		20	30
-89.643;-50.611	#	#	0.055;0.143	-0.082;1.029	1.594;6.641	-0.057;0.193	#	#	#	#	#	-0.004;0.458	#	0.005;0.010	-0.840;-0.049	#	0.914;1.975	#	#	0.092;1.820	#	010000	0.132	0.667	1	53.97	9914	6004	0.45		20	30
-68.336;-52.502	#	#	#	#	1.663;5.029	#	-0.105;0.179	-0.129;0.213	-0.850;3.717	#	0.263;0.481	#	#	#	#	#	#	0.066;0.434	#	#	-0.129;0.697	100001	0.071	0.589	1	80.31	9983	6005	0.36		103	175
#	#	#	0.119;0.243	#	-0.447;7.845	#	#	-0.086;1.206	#	#	0.460;0.771	0.042;0.227	0.006;0.121	#	0.076;0.829	0.280;0.853	1.023;1.500	#	0.010;0.125	#	#	011000	0.210	0.732	1	75.52	9922	6012	0.45		60	82
-82.681;-68.987	#	0.063;0.300	0.137;0.333	#	#	0.015;0.319	0.240;0.348	0.070;0.400	#	#	#	#	#	0.002;0.015	#	#	#	-0.047;0.621	0.084;0.113	#	#	100000	1.000	1.000	2	36.30	9929	6019	0.41		10	10
#	#	#	-0.006;0.111	0.784;1.842	-2.579;4.512	#	-0.012;0.103	#	-2.098;6.048	-0.280;0.571	0.379;0.521	0.309;0.514	#	#	#	#	2.729;3.619	0.353;0.993	#	#	#	100001	1.000	1.000	1	48.43	9934	6024	0.45		21	21
-94.429;-54.385	-0.004;0.143	0.048;0.251	#	#	1.652;5.004	#	#	-0.015;0.828	4.345;11.134	0.006;0.475	0.355;0.589	#	0.046;0.095	#	-0.032;0.644	-0.152;1.037	0.806;3.133	#	#	#	-0.114;0.981	010100	0.031	0.500	1	37.60	9944	6034	0.59		10	20
#	#	#	#	#	#	#	-0.105;0.179	-0.129;0.213	#	-0.071;0.666	0.263;0.481	#	#	#	0.031;0.668	#	#	0.066;0.434	#	#	-0.163;0.697	100001	0.038	0.520	1	72.12	9983	6042	0.32		143	275
#	-0.022;0.099	#	0.048;0.183	-0.473;0.479	#	-0.087;0.213	#	#	#	0.212;0.619	0.393;0.535	-0.123;0.232	#	#	0.074;0.614	-0.396;1.049	-0.574;1.137	0.315;0.626	#	#	#	001110	0.093	0.621	1	86.36	9999	6045	0.50		133	214
#	#	#	#	#	7.099;12.475	#	#	#	-1.673;7.090	#	0.335;0.535	#	#	0.004;0.014	0.074;0.614	0.428;1.216	#	0.634;1.030	0.050;0.107	#	#	001110	1.000	1.000	2	70.70	9959	6049	0.36		10	10
#	-0.082;0.088	#	#	#	#	#	#	#	#	-0.290;0.474	0.263;0.400	#	0.002;0.105	#	-0.245;1.063	#	#	#	#	#	#	100001	0.042	0.529	2	63.72	9961	6051	0.23		90	170
#	#	-0.075;0.088	-0.013;0.110	-0.032;0.568	#	#	-0.105;0.219	-0.337;0.213	0.405;3.717	-0.273;0.666	0.263;0.481	#	#	0.004;0.009	#	-0.052;0.568	#	#	0.068;0.098	#	-0.163;0.537	100001	0.074	0.594	1	76.76	9983	6052	0.55		151	254
#	0.079;0.196	#	0.059;0.150	0.285;1.413	#	#	#	-0.007;0.392	2.265;9.424	#	0.284;0.617	#	#	0.015;0.023	#	-0.202;0.552	0.799;2.887	#	0.093;0.153	#	#	010010	0.024	0.476	1	47.85	9966	6056	0.45		10	21
#	0.070;0.206	#	#	0.285;1.413	#	0.272;0.391	#	-0.007;0.392	2.265;9.424	#	0.284;0.617	#	#	0.015;0.023	#	#	1.605;2.887	0.459;0.750	#	#	#	010010	1.000	1.000	1	65.00	9966	6056	0.41		10	10
-75.924;-61.467	-0.008;0.159	-0.022;0.108	0.024;0.083	-0.617;0.242	-0.158;7.160	#	#	-0.135;0.616	-0.508;4.753	#	0.499;0.740	#	#	#	#	-0.193;0.322	-0.326;1.437	#	0.082;0.103	0.458;1.635	#	000001	1.000	1.000	1	126.29	9969	6059	0.59		60	60
-72.475;-61.777	#	-0.008;0.133	#	#	4.399;12.475	#	0.067;0.275	#	-1.673;7.090	0.005;0.498	0.393;0.535	-0.151;0.232	0.011;0.109	0.004;0.013	0.074;0.614	-0.396;0.776	#	0.446;0.747	#	0.258;1.884	#	001110	1.000	1.000	2	127.63	9971	6061	0.64		30	30
